precinct,barcode
1CS-1,26746000100101
1CS-1,26746000100118
1E-26,26746000200115
1E-26,26746000200108
1E-30,26746000400102
1E-30,26746000400119
1E-47,26746000500109
1E-47,26746000500116
1ES-1,26746000600106
1ES-1,26746000600113
1F--1,26746000700110
1F--1,26746000700103
1F--9,26746000800117
1F--9,26746000800100
1FS,26746000900107
1FS,26746000900114
1LU,26746001000103
1LU,26746001000110
1MU,26746001100117
1MU,26746001100100
1SB-1,26746001200107
1SB-1,26746001200114
1SB10,26746001300104
1SB10,26746001300111
2BV-1,26746001400118
2BV-1,26746001400101
2CU,26746001500108
2CU,26746001500115
2F--2,26746001600105
2F--2,26746001600112
2HV-1,26746001700102
2HV-1,26746001700119
2MR,26746001800109
2R--1,26746001900106
2R--1,26746001900113
2SH-1,26746002000102
2SH-1,26746002000119
2SHR1,26746002100109
2SHR1,26746002100116
3A--1,26746002200106
3A--1,26746002200113
3A--2,26746002300103
3A--2,26746002300110
3A-J1,26746002400100
3A-J1,26746002400117
3A-P2,26746002500107
3A-P2,26746002500114
3AS-8,26746002700101
3AS10,26746002800115
3AS10,26746002800108
3B--1,26746002900105
3B--1,26746002900112
3ES-6,26746003300102
3ES-6,26746003300119
3FWS,26746003400109
3FWS,26746003400116
3JCFR,26746003500106
3JCFR,26746003500113
3JCM,26746003600103
3KL,26746003700100
3MA-1,26746003800114
3MA-1,26746003800107
3PA-1,26746003900104
3PA-1,26746003900111
4E-11,26746004000100
4E-11,26746004000117
4E-20,26746004100107
4E-20,26746004100114
4E-32,26746004200104
4E-32,26746004200111
4E-41,26746004300101
4E-41,26746004300118
4E-51,26746004500105
4E-51,26746004500112
4ES-4,26746004600102
4ES-4,26746004600119
4PE,26746004800106
4PE,26746004800113
5AS-5,26746004900103
5AS-5,26746004900110
5BL,26746005000109
5BL,26746005000116
5BLFS,26746005100106
5KT-1,26746005200103
5KT-1,26746005200110
5KT-4,26746005300100
5KT-4,26746005300117
5KT-5,26746005400107
5KT-5,26746005400114
5KT-6,26746005500104
5KT-6,26746005500111
5KTF6,26746005600101
5KTF6,26746005600118
5MC,26746005700108
5MC,26746005700115
5MK-5,26746005800105
5MK-5,26746005800112
5MK-7,26746005900102
5MK-7,26746005900119
5MK-9,26746006000108
5MKS8,26746006200102
5PA-3,26746006300109
5PAS,26746006400106
5T--1,26746006500103
5TU-4,26746006600100
5TU-4,26746006600117